Order_ID,Date,Product,Category,Quantity,Unit_Price,Customer_ID,Region,Sales_Channel,Payment_Method,Discount,Cost,Revenue,Profit
ORD-10048,2025-07-17,Monitor,Electronics,4,300,CUST-1339,North America,Store,Credit Card,0.04,720,1152.0,432.0
ORD-10049,2026-02-14,Mouse,Accessories,3,50,CUST-1347,Europe,Online,Bank Transfer,0.06,60,141.0,81.0
ORD-10050,2026-01-20,Laptop,Electronics,1,900,CUST-1224,North America,Store,Credit Card,0.06,650,846.0,196.0
ORD-10051,2026-05-18,Keyboard,Accessories,1,80,CUST-1957,Asia,Online,Bank Transfer,0.05,35,76.0,41.0
ORD-10052,2025-07-01,Laptop,Electronics,1,900,CUST-1744,North America,Online,Credit Card,0.16,650,756.0,106.0
ORD-10053,2026-04-04,Monitor,Electronics,3,300,CUST-1455,Europe,Store,Bank Transfer,0.0,540,900.0,360.0
ORD-10054,2025-10-31,Tablet,Electronics,3,450,CUST-1676,North America,Online,Credit Card,0.08,900,1242.0,342.0
ORD-10055,2026-02-22,Monitor,Electronics,1,300,CUST-1683,South America,Online,Cash,0.02,180,294.0,114.0
ORD-10056,2026-05-21,Headphones,Accessories,3,120,CUST-1607,Europe,Store,Cash,0.06,180,338.4,158.39999999999998
ORD-10057,2026-03-31,Headphones,Accessories,1,120,CUST-1829,North America,Online,Bank Transfer,0.08,60,110.4,50.400000000000006
ORD-10058,2025-10-21,Headphones,Accessories,1,120,CUST-1267,Asia,Online,Credit Card,0.05,60,114.0,54.0
ORD-10059,2026-01-27,Keyboard,Accessories,2,80,CUST-1612,Asia,Online,Credit Card,0.14,70,137.6,67.6
ORD-10060,2025-08-02,Phone,Electronics,1,700,CUST-1698,North America,Online,Bank Transfer,0.2,500,560.0,60.0
ORD-10061,2026-03-18,Laptop,Electronics,1,900,CUST-1219,North America,Online,Credit Card,0.2,650,720.0,70.0
ORD-10062,2025-07-23,Laptop,Electronics,5,900,CUST-1384,North America,Online,Bank Transfer,0.07,3250,4185.0,935.0
ORD-10063,2026-03-28,Phone,Electronics,3,700,CUST-1052,Europe,Store,Credit Card,0.14,1500,1806.0,306.0
ORD-10064,2026-05-23,Headphones,Accessories,4,120,CUST-1709,North America,Online,Credit Card,0.09,240,436.8,196.8
ORD-10065,2025-11-07,Laptop,Electronics,4,900,CUST-1183,South America,Online,Cash,0.02,2600,3528.0,928.0
ORD-10066,2025-12-02,Headphones,Accessories,3,120,CUST-1293,Asia,Online,Bank Transfer,0.05,180,342.0,162.0
ORD-10067,2026-05-20,Monitor,Electronics,5,300,CUST-1197,North America,Store,Bank Transfer,0.13,900,1305.0,405.0
ORD-10068,2025-08-12,Tablet,Electronics,3,450,CUST-1143,Europe,Store,Credit Card,0.16,900,1134.0,234.0
ORD-10069,2025-10-03,Headphones,Accessories,1,120,CUST-1186,Europe,Store,Credit Card,0.03,60,116.39999999999999,56.39999999999999
ORD-10070,2025-12-31,Tablet,Electronics,5,450,CUST-1763,Europe,Online,Cash,0.17,1500,1867.5,367.5
ORD-10071,2025-09-10,Monitor,Electronics,3,300,CUST-1345,South America,Store,Cash,0.04,540,864.0,324.0
ORD-10072,2025-06-11,Monitor,Electronics,3,300,CUST-1147,Asia,Store,Bank Transfer,0.16,540,756.0,216.0
ORD-10073,2025-12-03,Laptop,Electronics,4,900,CUST-1935,Europe,Online,Bank Transfer,0.19,2600,2916.0,316.0
ORD-10074,2026-04-15,Mouse,Accessories,2,50,CUST-1778,South America,Store,Credit Card,0.17,40,83.0,43.0
ORD-10075,2026-01-20,Laptop,Electronics,4,900,CUST-1945,Europe,Online,Bank Transfer,0.15,2600,3060.0,460.0
ORD-10076,2026-01-02,Monitor,Electronics,2,300,CUST-1763,South America,Store,Credit Card,0.05,360,570.0,210.0
ORD-10077,2026-04-02,Phone,Electronics,2,700,CUST-1571,South America,Online,Credit Card,0.2,1000,1120.0,120.0
ORD-10078,2026-03-06,Smartwatch,Wearables,1,250,CUST-1303,South America,Store,Credit Card,0.05,140,237.5,97.5
ORD-10079,2025-07-21,Smartwatch,Wearables,4,250,CUST-1159,South America,Store,Credit Card,0.11,560,890.0,330.0
ORD-10080,2025-10-20,Keyboard,Accessories,3,80,CUST-1232,Asia,Store,Credit Card,0.04,105,230.39999999999998,125.39999999999998
ORD-10081,2026-01-24,Keyboard,Accessories,3,80,CUST-1207,South America,Online,Credit Card,0.14,105,206.4,101.4
ORD-10082,2026-04-19,Headphones,Accessories,3,120,CUST-1053,Europe,Online,Bank Transfer,0.17,180,298.8,118.80000000000001
ORD-10083,2026-01-17,Keyboard,Accessories,1,80,CUST-1586,South America,Store,Cash,0.13,35,69.6,34.599999999999994
ORD-10084,2025-11-21,Mouse,Accessories,1,50,CUST-1421,South America,Store,Cash,0.03,20,48.5,28.5
ORD-10085,2025-10-18,Mouse,Accessories,4,50,CUST-1111,South America,Store,Bank Transfer,0.12,80,176.0,96.0
ORD-10086,2025-07-25,Keyboard,Accessories,1,80,CUST-1860,North America,Online,Credit Card,0.13,35,69.6,34.599999999999994
ORD-10087,2025-07-01,Phone,Electronics,2,700,CUST-1337,Asia,Online,Cash,0.03,1000,1358.0,358.0
ORD-10088,2025-07-28,Phone,Electronics,2,700,CUST-1719,Asia,Store,Bank Transfer,0.14,1000,1204.0,204.0
ORD-10089,2026-06-05,Monitor,Electronics,5,300,CUST-1160,Europe,Online,Cash,0.04,900,1440.0,540.0
ORD-10090,2025-10-19,Monitor,Electronics,4,300,CUST-1276,Asia,Store,Credit Card,0.05,720,1140.0,420.0
ORD-10091,2025-09-18,Tablet,Electronics,4,450,CUST-1391,Asia,Store,Credit Card,0.07,1200,1674.0,474.0
ORD-10092,2026-02-15,Headphones,Accessories,3,120,CUST-1032,Asia,Store,Credit Card,0.13,180,313.2,133.2
ORD-10093,2026-01-17,Monitor,Electronics,4,300,CUST-1469,South America,Store,Cash,0.1,720,1080.0,360.0
ORD-10094,2026-06-09,Monitor,Electronics,5,300,CUST-1775,South America,Store,Bank Transfer,0.1,900,1350.0,450.0
ORD-10095,2026-05-06,Headphones,Accessories,3,120,CUST-1276,South America,Store,Bank Transfer,0.09,180,327.6,147.60000000000002
ORD-10096,2025-11-14,Headphones,Accessories,1,120,CUST-1959,North America,Online,Bank Transfer,0.12,60,105.6,45.599999999999994
ORD-10097,2025-12-21,Keyboard,Accessories,1,80,CUST-1828,South America,Store,Cash,0.04,35,76.8,41.8
ORD-10098,2026-06-06,Monitor,Electronics,3,300,CUST-1191,North America,Online,Cash,0.11,540,801.0,261.0
ORD-10099,2026-02-20,Headphones,Accessories,1,120,CUST-1171,Europe,Online,Cash,0.01,60,118.8,58.8
ORD-10100,2026-01-14,Monitor,Electronics,4,300,CUST-1045,Asia,Online,Credit Card,0.09,720,1092.0,372.0
ORD-10101,2025-07-21,Keyboard,Accessories,5,80,CUST-1891,Asia,Store,Bank Transfer,0.18,175,328.0,153.0
ORD-10102,2026-01-28,Headphones,Accessories,1,120,CUST-1348,Europe,Online,Bank Transfer,0.19,60,97.2,37.2
ORD-10103,2025-12-13,Phone,Electronics,1,700,CUST-1606,South America,Online,Cash,0.11,500,623.0,123.0
ORD-10104,2026-02-18,Laptop,Electronics,3,900,CUST-1115,South America,Online,Credit Card,0.2,1950,2160.0,210.0
ORD-10105,2026-03-23,Phone,Electronics,5,700,CUST-1982,Asia,Online,Cash,0.08,2500,3220.0,720.0
ORD-10106,2026-03-04,Headphones,Accessories,1,120,CUST-1127,North America,Store,Cash,0.06,60,112.8,52.8
ORD-10107,2026-04-09,Phone,Electronics,2,700,CUST-1734,South America,Online,Credit Card,0.11,1000,1246.0,246.0
ORD-10108,2026-01-03,Keyboard,Accessories,2,80,CUST-1685,North America,Online,Cash,0.19,70,129.60000000000002,59.60000000000002
ORD-10109,2026-02-24,Monitor,Electronics,2,300,CUST-1853,Europe,Store,Cash,0.12,360,528.0,168.0
ORD-10110,2026-05-29,Mouse,Accessories,2,50,CUST-1489,Asia,Online,Bank Transfer,0.05,40,95.0,55.0
ORD-10111,2026-01-30,Phone,Electronics,2,700,CUST-1103,North America,Store,Credit Card,0.06,1000,1316.0,316.0
ORD-10112,2026-01-05,Monitor,Electronics,1,300,CUST-1245,North America,Online,Cash,0.03,180,291.0,111.0
ORD-10113,2026-05-12,Phone,Electronics,5,700,CUST-1537,North America,Store,Cash,0.06,2500,3290.0,790.0
ORD-10114,2025-06-14,Headphones,Accessories,3,120,CUST-1407,South America,Store,Bank Transfer,0.05,180,342.0,162.0
ORD-10115,2025-07-03,Keyboard,Accessories,5,80,CUST-1902,Europe,Online,Credit Card,0.02,175,392.0,217.0
ORD-10116,2026-04-21,Mouse,Accessories,1,50,CUST-1019,Europe,Store,Credit Card,0.13,20,43.5,23.5
ORD-10117,2025-07-27,Laptop,Electronics,1,900,CUST-1399,Europe,Online,Bank Transfer,0.01,650,891.0,241.0
ORD-10118,2026-01-09,Headphones,Accessories,4,120,CUST-1142,Asia,Store,Bank Transfer,0.18,240,393.6,153.60000000000002
ORD-10119,2026-06-07,Monitor,Electronics,4,300,CUST-1799,Europe,Online,Cash,0.12,720,1056.0,336.0
ORD-10120,2025-09-07,Monitor,Electronics,3,300,CUST-1574,Asia,Online,Bank Transfer,0.09,540,819.0,279.0
ORD-10121,2026-05-23,Headphones,Accessories,5,120,CUST-1569,South America,Store,Bank Transfer,0.17,300,498.0,198.0
ORD-10122,2025-12-21,Mouse,Accessories,1,50,CUST-1837,Asia,Online,Cash,0.01,20,49.5,29.5
ORD-10123,2025-12-28,Headphones,Accessories,3,120,CUST-1992,Asia,Store,Cash,0.03,180,349.2,169.2
ORD-10124,2025-09-27,Mouse,Accessories,5,50,CUST-1619,South America,Store,Bank Transfer,0.05,100,237.5,137.5
ORD-10125,2025-08-07,Mouse,Accessories,5,50,CUST-1773,North America,Online,Cash,0.09,100,227.5,127.5
ORD-10126,2026-03-02,Monitor,Electronics,5,300,CUST-1349,Asia,Online,Bank Transfer,0.04,900,1440.0,540.0
ORD-10127,2026-04-05,Monitor,Electronics,3,300,CUST-1819,Asia,Online,Credit Card,0.13,540,783.0,243.0
ORD-10128,2025-09-26,Laptop,Electronics,5,900,CUST-1105,South America,Online,Bank Transfer,0.19,3250,3645.0000000000005,395.00000000000045
ORD-10129,2025-10-03,Monitor,Electronics,3,300,CUST-1830,Asia,Store,Cash,0.16,540,756.0,216.0
ORD-10130,2026-04-23,Keyboard,Accessories,3,80,CUST-1950,North America,Store,Cash,0.09,105,218.4,113.4
ORD-10131,2025-10-28,Phone,Electronics,2,700,CUST-1116,Asia,Store,Credit Card,0.01,1000,1386.0,386.0
ORD-10132,2026-02-23,Tablet,Electronics,1,450,CUST-1640,South America,Store,Credit Card,0.14,300,387.0,87.0
ORD-10133,2026-04-26,Tablet,Electronics,2,450,CUST-1750,Asia,Store,Bank Transfer,0.18,600,738.0,138.0
ORD-10134,2025-12-22,Laptop,Electronics,2,900,CUST-1117,North America,Online,Cash,0.05,1300,1710.0,410.0
ORD-10135,2026-03-11,Headphones,Accessories,1,120,CUST-1884,Asia,Store,Cash,0.13,60,104.4,44.400000000000006
ORD-10136,2026-05-30,Keyboard,Accessories,1,80,CUST-1998,South America,Online,Bank Transfer,0.19,35,64.80000000000001,29.80000000000001
ORD-10137,2026-04-27,Keyboard,Accessories,5,80,CUST-1246,North America,Online,Cash,0.12,175,352.0,177.0
ORD-10138,2025-11-06,Smartwatch,Wearables,3,250,CUST-1655,Europe,Store,Bank Transfer,0.05,420,712.5,292.5
ORD-10139,2026-04-23,Keyboard,Accessories,3,80,CUST-1696,Asia,Online,Cash,0.15,105,204.0,99.0
ORD-10140,2026-03-25,Headphones,Accessories,5,120,CUST-1068,North America,Store,Bank Transfer,0.02,300,588.0,288.0
ORD-10141,2025-11-11,Keyboard,Accessories,1,80,CUST-1957,South America,Online,Credit Card,0.06,35,75.19999999999999,40.19999999999999
ORD-10142,2026-02-27,Keyboard,Accessories,4,80,CUST-1911,North America,Store,Credit Card,0.04,140,307.2,167.2
ORD-10143,2025-07-22,Headphones,Accessories,2,120,CUST-1340,Europe,Online,Bank Transfer,0.15,120,204.0,84.0
ORD-10144,2026-02-09,Laptop,Electronics,4,900,CUST-1733,South America,Store,Cash,0.03,2600,3492.0,892.0
ORD-10145,2026-02-26,Monitor,Electronics,5,300,CUST-1521,South America,Online,Cash,0.08,900,1380.0,480.0
ORD-10146,2025-06-15,Keyboard,Accessories,5,80,CUST-1179,South America,Online,Credit Card,0.18,175,328.0,153.0
ORD-10147,2026-03-06,Phone,Electronics,2,700,CUST-1441,South America,Store,Bank Transfer,0.13,1000,1218.0,218.0
ORD-10148,2026-03-16,Laptop,Electronics,1,900,CUST-1515,South America,Online,Bank Transfer,0.11,650,801.0,151.0
ORD-10149,2025-11-23,Monitor,Electronics,2,300,CUST-1895,North America,Online,Cash,0.01,360,594.0,234.0
ORD-10150,2025-09-27,Phone,Electronics,3,700,CUST-1907,Asia,Store,Credit Card,0.16,1500,1764.0,264.0
ORD-10151,2026-05-09,Laptop,Electronics,2,900,CUST-1544,Asia,Online,Bank Transfer,0.11,1300,1602.0,302.0
ORD-10152,2026-05-08,Mouse,Accessories,1,50,CUST-1426,South America,Store,Bank Transfer,0.16,20,42.0,22.0
ORD-10153,2026-04-12,Phone,Electronics,5,700,CUST-1576,Europe,Store,Credit Card,0.13,2500,3045.0,545.0
ORD-10154,2025-06-23,Phone,Electronics,1,700,CUST-1042,South America,Online,Cash,0.13,500,609.0,109.0
ORD-10155,2026-01-13,Monitor,Electronics,4,300,CUST-1011,Europe,Store,Bank Transfer,0.05,720,1140.0,420.0
ORD-10156,2026-01-16,Tablet,Electronics,2,450,CUST-1753,North America,Online,Cash,0.01,600,891.0,291.0
ORD-10157,2026-03-09,Tablet,Electronics,3,450,CUST-1089,South America,Online,Cash,0.07,900,1255.5,355.5
ORD-10158,2025-12-26,Phone,Electronics,5,700,CUST-1601,South America,Store,Cash,0.17,2500,2905.0,405.0
ORD-10159,2026-05-02,Smartwatch,Wearables,2,250,CUST-1902,Asia,Online,Credit Card,0.05,280,475.0,195.0
ORD-10160,2025-08-17,Smartwatch,Wearables,4,250,CUST-1625,Europe,Store,Credit Card,0.14,560,860.0,300.0
ORD-10161,2026-05-13,Monitor,Electronics,5,300,CUST-1375,Europe,Online,Bank Transfer,0.19,900,1215.0,315.0
ORD-10162,2025-08-12,Laptop,Electronics,4,900,CUST-1760,Europe,Store,Credit Card,0.08,2600,3312.0,712.0
ORD-10163,2025-09-07,Keyboard,Accessories,4,80,CUST-1456,Asia,Online,Credit Card,0.04,140,307.2,167.2
ORD-10164,2025-12-17,Monitor,Electronics,3,300,CUST-1547,North America,Store,Credit Card,0.2,540,720.0,180.0
ORD-10165,2026-05-11,Tablet,Electronics,2,450,CUST-1095,Europe,Online,Bank Transfer,0.05,600,855.0,255.0
ORD-10166,2026-05-10,Monitor,Electronics,5,300,CUST-1694,North America,Store,Credit Card,0.05,900,1425.0,525.0
ORD-10167,2026-06-05,Tablet,Electronics,5,450,CUST-1866,Asia,Online,Bank Transfer,0.15,1500,1912.5,412.5
ORD-10168,2025-06-19,Mouse,Accessories,1,50,CUST-1880,Asia,Store,Credit Card,0.08,20,46.0,26.0
ORD-10169,2026-05-28,Phone,Electronics,4,700,CUST-1341,Europe,Online,Credit Card,0.17,2000,2324.0,324.0
ORD-10170,2025-09-21,Keyboard,Accessories,5,80,CUST-1176,North America,Online,Bank Transfer,0.18,175,328.0,153.0
ORD-10171,2025-08-18,Smartwatch,Wearables,4,250,CUST-1232,South America,Store,Bank Transfer,0.0,560,1000.0,440.0
ORD-10172,2026-01-11,Headphones,Accessories,3,120,CUST-1454,South America,Store,Bank Transfer,0.02,180,352.8,172.8
ORD-10173,2025-12-21,Keyboard,Accessories,4,80,CUST-1383,Asia,Online,Cash,0.19,140,259.20000000000005,119.20000000000005
ORD-10174,2025-12-24,Keyboard,Accessories,4,80,CUST-1366,Asia,Store,Bank Transfer,0.11,140,284.8,144.8
ORD-10175,2026-05-08,Monitor,Electronics,5,300,CUST-1395,Asia,Online,Credit Card,0.02,900,1470.0,570.0
ORD-10176,2025-07-20,Phone,Electronics,1,700,CUST-1468,Europe,Online,Credit Card,0.11,500,623.0,123.0
ORD-10177,2025-10-09,Monitor,Electronics,4,300,CUST-1143,North America,Store,Cash,0.19,720,972.0000000000001,252.0000000000001
ORD-10178,2026-04-02,Phone,Electronics,1,700,CUST-1692,Asia,Store,Bank Transfer,0.02,500,686.0,186.0
ORD-10179,2025-08-06,Keyboard,Accessories,2,80,CUST-1397,Europe,Store,Cash,0.19,70,129.60000000000002,59.60000000000002
ORD-10180,2025-12-24,Mouse,Accessories,2,50,CUST-1214,North America,Store,Credit Card,0.09,40,91.0,51.0
ORD-10181,2025-09-13,Laptop,Electronics,5,900,CUST-1657,Europe,Store,Bank Transfer,0.07,3250,4185.0,935.0
ORD-10182,2025-12-26,Headphones,Accessories,4,120,CUST-1953,Asia,Online,Cash,0.14,240,412.8,172.8
ORD-10183,2025-09-09,Tablet,Electronics,4,450,CUST-1229,South America,Online,Cash,0.17,1200,1494.0,294.0
ORD-10184,2026-04-13,Monitor,Electronics,5,300,CUST-1392,Asia,Online,Cash,0.04,900,1440.0,540.0
ORD-10185,2026-04-12,Monitor,Electronics,2,300,CUST-1193,South America,Online,Credit Card,0.18,360,492.00000000000006,132.00000000000006
ORD-10186,2025-10-20,Laptop,Electronics,5,900,CUST-1421,North America,Online,Bank Transfer,0.1,3250,4050.0,800.0
ORD-10187,2026-05-05,Monitor,Electronics,3,300,CUST-1364,Europe,Online,Bank Transfer,0.12,540,792.0,252.0
ORD-10188,2025-10-24,Headphones,Accessories,1,120,CUST-1656,South America,Online,Credit Card,0.18,60,98.4,38.400000000000006
ORD-10189,2025-10-24,Mouse,Accessories,1,50,CUST-1803,South America,Store,Credit Card,0.12,20,44.0,24.0
ORD-10190,2025-07-17,Smartwatch,Wearables,4,250,CUST-1444,North America,Store,Cash,0.02,560,980.0,420.0
ORD-10191,2026-05-30,Phone,Electronics,4,700,CUST-1090,South America,Online,Credit Card,0.11,2000,2492.0,492.0
ORD-10192,2026-05-16,Tablet,Electronics,2,450,CUST-1038,Asia,Online,Credit Card,0.18,600,738.0,138.0
ORD-10193,2025-09-26,Headphones,Accessories,3,120,CUST-1753,South America,Store,Cash,0.05,180,342.0,162.0
ORD-10194,2026-05-14,Monitor,Electronics,4,300,CUST-1659,North America,Store,Credit Card,0.11,720,1068.0,348.0
ORD-10195,2026-03-27,Laptop,Electronics,4,900,CUST-1894,Asia,Store,Bank Transfer,0.15,2600,3060.0,460.0
ORD-10196,2025-11-25,Monitor,Electronics,1,300,CUST-1386,South America,Store,Credit Card,0.15,180,255.0,75.0
ORD-10197,2026-01-15,Smartwatch,Wearables,5,250,CUST-1504,Europe,Store,Cash,0.05,700,1187.5,487.5
ORD-10198,2025-10-05,Phone,Electronics,4,700,CUST-1823,Asia,Store,Cash,0.06,2000,2632.0,632.0
ORD-10199,2026-03-31,Monitor,Electronics,1,300,CUST-1133,North America,Store,Bank Transfer,0.04,180,288.0,108.0
ORD-10200,2025-11-30,Laptop,Electronics,2,900,CUST-1671,North America,Store,Bank Transfer,0.0,1300,1800.0,500.0
ORD-10201,2026-05-10,Monitor,Electronics,5,300,CUST-1148,Asia,Online,Cash,0.01,900,1485.0,585.0
ORD-10202,2025-08-13,Keyboard,Accessories,5,80,CUST-1228,Asia,Online,Bank Transfer,0.2,175,320.0,145.0
ORD-10203,2025-10-12,Headphones,Accessories,4,120,CUST-1531,Europe,Store,Bank Transfer,0.11,240,427.2,187.2
ORD-10204,2026-05-05,Mouse,Accessories,1,50,CUST-1232,Asia,Online,Bank Transfer,0.1,20,45.0,25.0
ORD-10205,2026-03-24,Tablet,Electronics,1,450,CUST-1414,North America,Store,Cash,0.14,300,387.0,87.0
ORD-10206,2025-12-11,Headphones,Accessories,1,120,CUST-1885,South America,Online,Cash,0.13,60,104.4,44.400000000000006
ORD-10207,2025-07-29,Keyboard,Accessories,3,80,CUST-1952,Asia,Store,Bank Transfer,0.18,105,196.8,91.80000000000001
ORD-10208,2025-07-18,Smartwatch,Wearables,3,250,CUST-1735,North America,Store,Bank Transfer,0.06,420,705.0,285.0
ORD-10209,2025-11-21,Smartwatch,Wearables,4,250,CUST-1372,Europe,Online,Bank Transfer,0.02,560,980.0,420.0
ORD-10210,2026-04-01,Keyboard,Accessories,2,80,CUST-1089,North America,Store,Credit Card,0.04,70,153.6,83.6
ORD-10211,2026-03-05,Phone,Electronics,2,700,CUST-1539,South America,Online,Bank Transfer,0.05,1000,1330.0,330.0
ORD-10212,2026-03-12,Tablet,Electronics,4,450,CUST-1739,South America,Online,Credit Card,0.07,1200,1674.0,474.0
ORD-10213,2026-05-20,Phone,Electronics,3,700,CUST-1144,North America,Online,Credit Card,0.14,1500,1806.0,306.0
ORD-10214,2026-01-03,Phone,Electronics,1,700,CUST-1723,Asia,Online,Bank Transfer,0.06,500,658.0,158.0
ORD-10215,2026-04-25,Tablet,Electronics,5,450,CUST-1924,South America,Store,Cash,0.14,1500,1935.0,435.0
ORD-10216,2025-06-28,Headphones,Accessories,5,120,CUST-1252,Europe,Store,Bank Transfer,0.18,300,492.00000000000006,192.00000000000006
ORD-10217,2025-11-21,Tablet,Electronics,2,450,CUST-1708,Asia,Online,Cash,0.08,600,828.0,228.0
ORD-10218,2026-01-11,Keyboard,Accessories,1,80,CUST-1823,Europe,Online,Cash,0.08,35,73.60000000000001,38.60000000000001
